X,Y,Z1,Z2,,,
133.673,392.716,25,3.567,134,159,148
820.303,392.716,135,3.567,141,159,161
313.010,223.342,113,3.567,,,
313.010,439.211,121,3.567,,,
481.554,174.356,134,3.567,,,
481.554,463.288,159,3.567,,,
649.268,229.984,141,3.567,,,
649.268,436.720,159,3.567,,,
313.010,223.342,113,3.567,,,
313.010,439.211,121,3.567,,,
313.010,352.033,62,3.567,,,
481.554,174.356,134,3.567,,,
481.554,463.288,159,3.567,,,
481.554,393.546,148,3.567,,,
649.268,229.984,141,3.567,,,
649.268,436.720,159,3.567,,,
649.268,395.207,161,3.567,,,
