X,Y,Z1,Z2,,,
817.205,329.535,40,1.288,227,204,186
304.029,328.514,257,1.288,173,147,172
432.578,224.451,253,1.288,,,
430.537,450.942,244,1.288,,,
560.107,206.087,227,1.288,,,
561.127,474.407,204,1.288,,,
689.676,217.309,173,1.288,,,
689.676,450.942,147,1.288,,,
432.578,224.451,253,1.288,,,
430.537,450.942,244,1.288,,,
432.578,328.514,157,1.288,,,
560.107,206.087,227,1.288,,,
561.127,474.407,204,1.288,,,
561.127,327.494,186,1.288,,,
689.676,217.309,173,1.288,,,
689.676,450.942,147,1.288,,,
689.676,329.535,172,1.288,,,
