X,Y,Z1,Z2,,,
42.170,182.281,102,1.288,163,225,118
803.262,179.561,26,1.288,101,232,135
234.653,114.266,148,1.288,,,
234.653,188.403,172,1.288,,,
425.096,66.655,163,1.288,,,
425.096,202.686,225,1.288,,,
615.539,25.846,101,1.288,,,
615.539,322.393,232,1.288,,,
234.653,114.266,148,1.288,,,
234.653,188.403,172,1.288,,,
234.653,182.961,86,1.288,,,
425.096,66.655,163,1.288,,,
425.096,202.686,225,1.288,,,
425.096,182.961,118,1.288,,,
615.539,25.846,101,1.288,,,
615.539,322.393,232,1.288,,,
615.539,182.961,135,1.288,,,
