X,Y,Z1,Z2,,,
252.580,293.564,88,1.288,93,113,79
833.036,292.611,1,1.288,64,81,91
397.455,153.454,106,1.288,,,
397.455,400.315,118,1.288,,,
542.331,134.391,93,1.288,,,
542.331,421.284,113,1.288,,,
687.207,142.016,64,1.288,,,
688.160,402.221,81,1.288,,,
397.455,153.454,106,1.288,,,
397.455,400.315,118,1.288,,,
397.455,289.752,11,1.288,,,
542.331,134.391,93,1.288,,,
542.331,421.284,113,1.288,,,
543.284,292.611,79,1.288,,,
687.207,142.016,64,1.288,,,
688.160,402.221,81,1.288,,,
688.160,292.611,91,1.288,,,
