X,Y,Z1,Z2,,,
284.663,451.902,259,1.005,168,185,108
757.915,453.088,18,1.005,92,105,123
402.086,335.665,239,1.005,,,
400.900,552.720,243,1.005,,,
519.509,282.291,168,1.005,,,
520.696,584.745,185,1.005,,,
639.305,276.360,92,1.005,,,
639.305,584.745,105,1.005,,,
402.086,335.665,239,1.005,,,
400.900,552.720,243,1.005,,,
402.086,451.902,132,1.005,,,
519.509,282.291,168,1.005,,,
520.696,584.745,185,1.005,,,
521.882,453.088,108,1.005,,,
639.305,276.360,92,1.005,,,
639.305,584.745,105,1.005,,,
638.119,453.088,123,1.005,,,
