X,Y,Z1,Z2,,,
308.385,432.925,173,1.017,140,98,121
767.403,432.925,5,1.017,40,93,108
428.180,283.477,130,1.017,,,
426.994,536.115,170,1.017,,,
539.673,563.395,140,1.017,,,
540.859,270.430,98,1.017,,,
653.538,298.896,40,1.017,,,
652.352,545.604,93,1.017,,,
428.180,283.477,130,1.017,,,
426.994,536.115,170,1.017,,,
428.180,431.738,65,1.017,,,
539.673,563.395,140,1.017,,,
540.859,270.430,98,1.017,,,
540.859,431.738,121,1.017,,,
653.538,298.896,40,1.017,,,
652.352,545.604,93,1.017,,,
653.538,432.925,108,1.017,,,
