X,Y,Z1,Z2,,,
139.366,211.718,253,0.8323,144,183,114
579.407,206.380,3,0.8323,67,140,119
250.266,134.029,215,0.8323,,,
250.859,267.464,230,0.8323,,,
360.573,100.818,144,0.8323,,,
360.573,289.407,183,0.8323,,,
470.879,121.575,67,0.8323,,,
470.879,287.035,140,0.8323,,,
250.266,134.029,215,0.8323,,,
250.859,267.464,230,0.8323,,,
250.859,209.939,108,0.8323,,,
360.573,100.818,144,0.8323,,,
360.573,289.407,183,0.8323,,,
360.573,202.229,114,0.8323,,,
470.879,121.575,67,0.8323,,,
470.879,287.035,140,0.8323,,,
470.286,208.160,119,0.8323,,,
