X,Y,Z1,Z2,,,
226.663,284.781,62,2.476,76,86,70
829.436,283.951,21,2.476,60,65,79
380.262,159.411,79,2.476,,,
379.431,413.472,87,2.476,,,
528.879,127.861,76,2.476,,,
529.710,447.513,86,2.476,,,
678.327,153.599,60,2.476,,,
678.327,423.436,65,2.476,,,
380.262,159.411,79,2.476,,,
379.431,413.472,87,2.476,,,
380.262,296.405,17,2.476,,,
528.879,127.861,76,2.476,,,
529.710,447.513,86,2.476,,,
529.710,284.781,70,2.476,,,
678.327,153.599,60,2.476,,,
678.327,423.436,65,2.476,,,
679.157,283.951,79,2.476,,,
