X,Y,Z1,Z2,,,
97.141,282.291,18,2.649,118,126,125
799.546,282.291,46,2.649,132,138,142
271.497,127.031,89,2.649,,,
271.497,412.642,97,2.649,,,
447.513,102.123,118,2.649,,,
447.513,441.702,126,2.649,,,
623.530,138.654,132,2.649,,,
623.530,392.716,138,2.649,,,
271.497,127.031,89,2.649,,,
271.497,412.642,97,2.649,,,
270.667,268.176,20,2.649,,,
447.513,102.123,118,2.649,,,
447.513,441.702,126,2.649,,,
447.513,283.121,125,2.649,,,
623.530,138.654,132,2.649,,,
623.530,392.716,138,2.649,,,
624.360,282.291,142,2.649,,,
