X,Y,Z1,Z2,,,
183.489,320.483,27,3.252,44,68,56
846.871,319.652,8,3.252,45,62,63
349.542,167.714,40,3.252,,,
349.542,432.568,59,3.252,,,
515.595,140.315,44,3.252,,,
515.595,483.215,68,3.252,,,
680.818,180.168,45,3.252,,,
680.818,459.967,62,3.252,,,
349.542,167.714,40,3.252,,,
349.542,432.568,59,3.252,,,
348.712,327.125,23,3.252,,,
515.595,140.315,44,3.252,,,
515.595,483.215,68,3.252,,,
515.595,319.652,56,3.252,,,
680.818,180.168,45,3.252,,,
680.818,459.967,62,3.252,,,
679.157,320.483,63,3.252,,,
