X,Y,Z1,Z2,,,
136.164,363.656,43,3.129,69,81,70
845.211,363.656,23,3.129,69,82,89
313.840,174.356,68,3.129,,,
313.010,542.164,76,3.129,,,
491.517,163.562,69,3.129,,,
489.857,549.636,81,3.129,,,
668.364,223.342,69,3.129,,,
668.364,501.481,82,3.129,,,
313.840,174.356,68,3.129,,,
313.010,542.164,76,3.129,,,
313.840,352.033,27,3.129,,,
491.517,163.562,69,3.129,,,
489.857,549.636,81,3.129,,,
492.348,363.656,70,3.129,,,
668.364,223.342,69,3.129,,,
668.364,501.481,82,3.129,,,
668.364,363.656,89,3.129,,,
