X,Y,Z1,Z2,,,
220.020,290.593,103,3.129,71,83,72
824.454,290.593,18,3.129,45,61,73
371.959,121.219,92,3.129,,,
369.468,456.646,106,3.129,,,
522.237,92.990,71,3.129,,,
522.237,488.196,83,3.129,,,
674.176,150.278,45,3.129,,,
674.176,451.665,61,3.129,,,
371.959,121.219,92,3.129,,,
369.468,456.646,106,3.129,,,
371.959,303.047,63,3.129,,,
522.237,92.990,71,3.129,,,
522.237,488.196,83,3.129,,,
523.067,290.593,72,3.129,,,
674.176,150.278,45,3.129,,,
674.176,451.665,61,3.129,,,
672.515,289.763,73,3.129,,,
