X,Y,Z1,Z2,,,
160.241,288.102,48,3.252,49,65,50
846.041,288.102,2,3.252,46,48,61
332.937,106.274,52,3.252,,,
332.937,434.229,70,3.252,,,
503.141,92.160,49,3.252,,,
503.141,465.779,65,3.252,,,
675.006,138.654,46,3.252,,,
675.006,413.472,48,3.252,,,
332.937,106.274,52,3.252,,,
332.937,434.229,70,3.252,,,
332.937,288.102,26,3.252,,,
503.141,92.160,49,3.252,,,
503.141,465.779,65,3.252,,,
503.141,288.933,50,3.252,,,
675.006,138.654,46,3.252,,,
675.006,413.472,48,3.252,,,
674.176,288.102,61,3.252,,,
