X,Y,Z1,Z2,,,
60.609,310.519,40,2.812,62,78,78
835.247,310.519,5,2.812,69,74,87
254.061,112.916,58,2.812,,,
254.061,499.820,72,2.812,,,
448.344,97.971,62,2.812,,,
448.344,525.558,78,2.812,,,
641.795,154.429,69,2.812,,,
641.795,452.495,74,2.812,,,
254.061,112.916,58,2.812,,,
254.061,499.820,72,2.812,,,
255.722,297.235,18,2.812,,,
448.344,97.971,62,2.812,,,
448.344,525.558,78,2.812,,,
448.344,310.519,78,2.812,,,
641.795,154.429,69,2.812,,,
641.795,452.495,74,2.812,,,
640.965,310.519,87,2.812,,,
