X,Y,Z1,Z2,,,
127.861,337.088,53,3.252,77,86,85
793.734,336.258,49,3.252,84,84,98
293.914,169.374,69,3.252,,,
293.914,466.609,83,3.252,,,
459.967,157.751,77,3.252,,,
459.137,474.912,86,3.252,,,
626.020,229.984,84,3.252,,,
625.190,435.059,84,3.252,,,
293.914,169.374,69,3.252,,,
293.914,466.609,83,3.252,,,
293.914,320.483,39,3.252,,,
459.967,157.751,77,3.252,,,
459.137,474.912,86,3.252,,,
459.137,337.088,85,3.252,,,
626.020,229.984,84,3.252,,,
625.190,435.059,84,3.252,,,
626.020,336.258,98,3.252,,,
