X,Y,Z1,Z2,,,
246.589,296.405,52,3.252,43,64,45
834.417,297.235,6,3.252,36,52,60
393.546,133.673,47,3.252,,,
392.716,425.926,70,3.252,,,
539.673,122.049,43,3.252,,,
539.673,435.059,64,3.252,,,
687.460,164.393,36,3.252,,,
686.630,394.376,52,3.252,,,
393.546,133.673,47,3.252,,,
392.716,425.926,70,3.252,,,
393.546,296.405,22,3.252,,,
539.673,122.049,43,3.252,,,
539.673,435.059,64,3.252,,,
539.673,295.575,45,3.252,,,
687.460,164.393,36,3.252,,,
686.630,394.376,52,3.252,,,
687.460,296.405,60,3.252,,,
