X,Y,Z1,Z2,,,
203.415,317.162,75,3.129,83,88,60
828.605,317.162,15,3.129,61,63,62
359.505,202.585,88,3.129,,,
360.335,415.133,94,3.129,,,
516.425,179.337,83,3.129,,,
516.425,453.325,88,3.129,,,
672.515,194.282,61,3.129,,,
671.685,425.926,63,3.129,,,
359.505,202.585,88,3.129,,,
360.335,415.133,94,3.129,,,
360.335,317.162,49,3.129,,,
516.425,179.337,83,3.129,,,
516.425,453.325,88,3.129,,,
516.425,316.331,60,3.129,,,
672.515,194.282,61,3.129,,,
671.685,425.926,63,3.129,,,
672.515,316.331,62,3.129,,,
