X,Y,Z1,z2,,,
295.575,332.937,83,3.129,68,79,61
864.307,332.937,4,3.129,48,55,60
438.380,214.209,82,3.129,,,
439.211,443.362,90,3.129,,,
581.186,193.452,68,3.129,,,
581.186,474.912,79,3.129,,,
722.331,236.626,48,3.129,,,
722.331,473.252,55,3.129,,,
438.380,214.209,82,3.129,,,
439.211,443.362,90,3.129,,,
439.211,347.051,47,3.129,,,
581.186,193.452,68,3.129,,,
581.186,474.912,79,3.129,,,
581.186,333.767,61,3.129,,,
722.331,236.626,48,3.129,,,
722.331,473.252,55,3.129,,,
721.501,333.767,60,3.129,,,
