X,Y,Z1,Z2,,,
249.080,313.840,53,3.252,52,60,66
835.247,313.010,2,3.252,49,53,63
396.037,438.380,68,3.252,,,
396.867,131.182,53,3.252,,,
542.994,124.540,52,3.252,,,
542.994,458.307,60,3.252,,,
689.121,189.301,49,3.252,,,
688.290,415.133,53,3.252,,,
396.037,438.380,68,3.252,,,
396.867,131.182,53,3.252,,,
396.867,286.442,19,3.252,,,
542.994,124.540,52,3.252,,,
542.994,458.307,60,3.252,,,
542.994,312.180,66,3.252,,,
689.121,189.301,49,3.252,,,
688.290,415.133,53,3.252,,,
689.121,313.840,63,3.252,,,
