X,Y,Z1,Z2,,,
192.622,290.593,46,3.252,68,74,68
835.247,290.593,38,3.252,69,73,78
355.354,131.182,62,3.252,,,
353.693,445.022,69,3.252,,,
513.104,139.485,68,3.252,,,
514.765,446.683,74,3.252,,,
675.836,203.415,69,3.252,,,
675.006,401.849,73,3.252,,,
355.354,131.182,62,3.252,,,
353.693,445.022,69,3.252,,,
355.354,303.047,29,3.252,,,
513.104,139.485,68,3.252,,,
514.765,446.683,74,3.252,,,
513.104,292.254,68,3.252,,,
675.836,203.415,69,3.252,,,
675.006,401.849,73,3.252,,,
675.006,290.593,78,3.252,,,
