X,Y,Z1,Z2,,,
210.057,291.423,52,3.252,66,67,64
820.303,291.423,28,3.252,63,64,72
361.996,159.411,66,3.252,,,
362.826,444.192,75,3.252,,,
514.765,129.521,66,3.252,,,
515.595,464.119,67,3.252,,,
666.703,196.773,63,3.252,,,
666.703,421.775,64,3.252,,,
361.996,159.411,66,3.252,,,
362.826,444.192,75,3.252,,,
361.996,291.423,21,3.252,,,
514.765,129.521,66,3.252,,,
515.595,464.119,67,3.252,,,
514.765,290.593,64,3.252,,,
666.703,196.773,63,3.252,,,
666.703,421.775,64,3.252,,,
666.703,290.593,72,3.252,,,
