X,Y,Z1,Z2,,,
279.800,376.110,94,2.812,95,86,70
820.303,376.941,8,2.812,71,61,71
415.133,280.630,102,2.812,,,
413.472,478.233,96,2.812,,,
549.636,240.777,95,2.812,,,
549.636,503.141,86,2.812,,,
684.969,239.117,71,2.812,,,
684.969,494.838,61,2.812,,,
415.133,280.630,102,2.812,,,
413.472,478.233,96,2.812,,,
415.133,352.863,56,2.812,,,
549.636,240.777,95,2.812,,,
549.636,503.141,86,2.812,,,
549.636,376.110,70,2.812,,,
684.969,239.117,71,2.812,,,
684.969,494.838,61,2.812,,,
684.969,376.110,71,2.812,,,
