X,Y,z1,Z2,,,
383.583,350.372,95,3.129,83,83,74
858.495,350.372,3,3.129,63,66,66
501.481,440.041,96,3.129,,,
502.311,264.025,95,3.129,,,
619.378,210.888,83,3.129,,,
619.378,473.252,83,3.129,,,
738.106,239.947,63,3.129,,,
738.106,459.137,66,3.129,,,
501.481,440.041,96,3.129,,,
502.311,264.025,95,3.129,,,
502.311,339.579,45,3.129,,,
619.378,210.888,83,3.129,,,
619.378,473.252,83,3.129,,,
619.378,350.372,74,3.129,,,
738.106,239.947,63,3.129,,,
738.106,459.137,66,3.129,,,
737.276,350.372,66,3.129,,,
