X,Y,Z1,Z2,,,
318.822,303.877,99,3.252,88,88,75
827.775,303.877,1,3.252,67,66,67
445.853,220.020,99,3.252,,,
446.683,401.849,101,3.252,,,
574.544,190.961,88,3.252,,,
572.883,441.701,88,3.252,,,
701.575,190.131,67,3.252,,,
701.575,426.757,66,3.252,,,
445.853,220.020,99,3.252,,,
446.683,401.849,101,3.252,,,
446.683,313.010,56,3.252,,,
574.544,190.961,88,3.252,,,
572.883,441.701,88,3.252,,,
574.544,303.047,75,3.252,,,
701.575,190.131,67,3.252,,,
701.575,426.757,66,3.252,,,
701.575,303.877,67,3.252,,,
